number_of_reviews,minimum_nights,calculated_host_listings_count,availability_365,price
0.0985691573926868,0.0016012810248198558,0.0,0.5178082191780822,89
0.0,0.016012810248198558,0.0,0.2,30
0.02702702702702703,0.0008006405124099279,0.0,0.0,120
0.007949125596184421,0.0008006405124099279,1.0,0.7452054794520548,470
0.04769475357710652,0.0008006405124099279,0.0,0.0821917808219178,199
0.22416534181240064,0.0,0.0,0.07671232876712329,170
0.001589825119236884,0.0032025620496397116,0.0,0.0,90
0.0,0.023218574859887906,0.0,0.3315068493150685,60
0.1414944356120827,0.0008006405124099279,0.0,0.1506849315068493,150
0.05882352941176471,0.0008006405124099279,0.009202453987730062,0.1917808219178082,74
0.006359300476947536,0.0,0.009202453987730062,0.9698630136986301,28
0.0,0.0008006405124099279,0.0,1.0,200
0.01907790143084261,0.0016012810248198558,0.0,0.010958904109589041,230
0.003179650238473768,0.0,0.0,0.0,48
0.007949125596184421,0.010408326661329063,0.0,0.0,100
0.001589825119236884,0.0016012810248198558,0.0,0.0,100
0.006359300476947536,0.023218574859887906,0.0,0.3643835616438356,115
0.001589825119236884,0.0,0.0,0.0,94
0.009538950715421305,0.0,0.0,0.016438356164383564,124
0.0,0.0,0.0,0.0,235
0.044515103338632754,0.0008006405124099279,0.0,0.23013698630136986,40
0.001589825119236884,0.0,0.0,0.0,115
0.13831478537360892,0.0,0.0,0.7452054794520548,250
0.017488076311605726,0.004803843074459567,0.0,0.0,145
0.0,0.0016012810248198558,0.0,0.0,200
0.0,0.023218574859887906,0.7085889570552147,0.10410958904109589,312
0.0,0.0016012810248198558,0.0,0.4438356164383562,53
0.02384737678855326,0.0,0.015337423312883437,0.4931506849315069,79
0.05246422893481718,0.0,0.0,0.052054794520547946,60
0.003179650238473768,0.023218574859887906,0.3128834355828221,0.673972602739726,40
0.007949125596184421,0.0008006405124099279,0.0,0.0,70
0.10651828298887123,0.0,0.0,0.9424657534246575,300
0.004769475357710652,0.023218574859887906,0.15644171779141103,0.9205479452054794,129
0.2527821939586646,0.0,0.0,0.23013698630136986,75
